Provenance,Destination,Train,Numéro,Jour,Départ (réel),Départ (prévu),Retard (min),Cause,Arrêts
Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache ,TGV INOUI,6609,08-03-2023,12:02:00,12:02:00,0,,['Lyon Perrache']
Lyon Part Dieu,Toulouse Matabiau ,TGV INOUI,6823,08-03-2023,12:10:00,12:10:00,0,,"['Valence TGV Rhône-Alpes Sud', 'Nîmes Centre', 'Montpellier Saint-Roch', 'Béziers', 'Narbonne', 'Carcassonne', 'Toulouse Matabiau']"
Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache ,TGV INOUI,6611,08-03-2023,13:02:00,13:02:00,0,,['Lyon Perrache']
Saint-Étienne Châteaucreux,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6694,08-03-2023,13:04:00,13:04:00,0,,['Paris - Gare de Lyon - Hall 1 & 2']
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6618,08-03-2023,13:04:00,13:04:00,0,,['Paris - Gare de Lyon - Hall 1 & 2']
Bourg-en-Bresse,Lyon Vaise ,TER,889425,08-03-2023,13:51:00,13:51:00,0,,"['Lyon Perrache', 'Lyon Vaise']"
Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache ,TGV INOUI,6613,08-03-2023,14:02:00,14:02:00,0,,['Lyon Perrache']
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6620,08-03-2023,14:04:00,14:04:00,0,,"['Le Creusot - Montceau-les-Mines - Montchanin TGV', 'Paris - Gare de Lyon - Hall 1 & 2']"
Lyon Part Dieu,Toulon ,TGV INOUI,6813,08-03-2023,14:06:00,14:06:00,0,,"['Avignon TGV', 'Aix-en-Provence TGV', 'Marseille - Saint-Charles', 'Toulon']"
Lyon Vaise,Bourg-en-Bresse ,TER,889477,08-03-2023,14:12:00,14:12:00,0,,"['Sathonay - Rillieux', 'Les Échets', 'Mionnay', 'Saint-André-de-Corcy', 'Saint-Marcel-en-Dombes', 'Villars-les-Dombes', 'Marlieux - Châtillon-sur-Chalaronne', 'Saint-Paul-de-Varax', 'Servas - Lent', 'Bourg-en-Bresse']"
Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache ,OUIGO,7803,08-03-2023,14:28:00,14:28:00,0,,['Lyon Perrache']
Bourg-en-Bresse,Lyon Vaise ,TER,889427,08-03-2023,14:51:00,14:51:00,0,,"['Lyon Perrache', 'Lyon Vaise']"
Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache ,TGV INOUI,6615,08-03-2023,15:02:00,15:02:00,0,,['Lyon Perrache']
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6622,08-03-2023,15:04:00,15:04:00,0,,['Paris - Gare de Lyon - Hall 1 & 2']
Lyon Vaise,Bourg-en-Bresse ,TER,889479,08-03-2023,15:12:00,15:12:00,0,,"['Sathonay - Rillieux', 'Les Échets', 'Mionnay', 'Saint-André-de-Corcy', 'Saint-Marcel-en-Dombes', 'Villars-les-Dombes', 'Marlieux - Châtillon-sur-Chalaronne', 'Saint-Paul-de-Varax', 'Servas - Lent', 'Bourg-en-Bresse']"
